시군명,지식산업센터명칭,소재지지번주소,소재지도로명주소,용도지역,건축연면적(제곱미터),입주업체수,비고,데이터기준일
성남시,중앙인더스피아 3차,경기도 성남시 중원구 상대원동 144-1,경기도 성남시 중원구 사기막골로105번길 27,일반공업,45084,26,,2025-02-28
성남시,중앙이노테크,경기도 성남시 중원구 상대원동171,경기도 성남시 중원구 사기막골로 148,일반공업,41379,63,,2025-02-28
성남시,델리스,경기도 성남시 중원구 상대원동135-5,경기도 성남시 중원구 사기막골로 164,일반공업,9697,5,,2025-02-28
성남시,센트럴 비즈타워,경기도 성남시 중원구 상대원동 143-2,경기도 성남시 중원구 갈마치로 314,일반공업,63471,96,,2025-02-28
성남시,SK V1,경기도 성남시 중원구 상대원동 546,경기도 성남시 중원구 갈마치로288번길 14,일반공업,140396,205,,2025-02-28
성남시,자생메디바이오센터,경기도 성남시 중원구 상대원동 567-1,경기도 성남시 중원구 사기막골로 18,일반공업,22676,3,,2025-02-28
성남시,성남 센터엠,경기도 성남시 중원구 상대원동 223-27 외 2필지,경기도 성남시 중원구 사기막골로62번길 33,일반공업,71016,160,,2025-02-28
성남시,센트럴 비즈타워 2차,경기도 성남시 중원구 상대원동 145-3,경기도 성남시 중원구 사기막골로 99,일반공업,94471,143,,2025-02-28
성남시,성우지식산업센터,경기도 성남시 중원구 상대원동 510-9,경기도 성남시 중원구 갈마치로 176,일반공업,9311,0,,2025-02-28
성남시,대유지식산업센터,경기도 성남시 중원구 상대원동 500-2,경기도 성남시 중원구 둔촌대로 509,일반공업,44168,0,설립완료 미신고,2025-02-28
성남시,영원패션클러스터,경기도 성남시 중원구 상대원동 133-2,경기도 성남시 중원구 사기막골로 169,일반공업,38542,0,설립완료 미신고,2025-02-28
성남시,성남 아이파크 디어반,경기도 성남시 중원구 상대원동 252-1(복합구역),경기도 성남시 중원구 갈마치로 245,준주거지역,83481,5,,2025-02-28
성남시,센트럴비즈타워3차,경기도 성남시 중원구 상대원동 333-5,,일반공업,62196,0,2025. 12. 준공 예정,2025-02-28
